абайя абайя noun:inanim:f:v_naz:ua_1992
душка душка noun:inanim:f:v_naz
душно душно adv:compb:&predic
душок душок noun:inanim:m:v_naz
дюбек дюбек noun:inanim:m:v_naz
дюкер дюкер noun:inanim:m:v_naz
дюшес дюшес noun:inanim:m:v_naz
дядин дядин adj:m:v_naz
дядьо дядьо noun:anim:m:v_naz
дяків дяків adj:m:v_naz
дятел дятел noun:anim:m:v_naz
дячок дячок noun:anim:m:v_naz
ебола ебола noun:inanim:f:v_naz
евенк евенк noun:anim:m:v_naz
егіда егіда noun:inanim:f:v_naz
егрет егрет noun:inanim:m:v_naz
едема едема noun:inanim:f:v_naz
едикт едикт noun:inanim:m:v_naz
ейдос ейдос noun:inanim:m:v_naz
екати екати verb:imperf:inf
екзил екзил noun:inanim:m:v_naz
екзон екзон noun:inanim:m:v_naz
екзот екзот noun:inanim:m:v_naz
еклер еклер noun:inanim:m:v_naz
екран екран noun:inanim:m:v_naz
ексон ексон noun:inanim:m:v_naz
елінг елінг noun:inanim:m:v_naz
еліпс еліпс noun:inanim:m:v_naz
еліта еліта noun:inanim:f:v_naz
еллін еллін noun:anim:m:v_naz
елюат елюат noun:inanim:m:v_naz
емаль емаль noun:inanim:f:v_naz
ембол ембол noun:inanim:m:v_naz
енант енант noun:inanim:m:v_naz
ендек ендек noun:anim:m:v_naz
ендем ендем noun:inanim:m:v_naz
ендси ендси noun:inanim:p:v_naz:ns
енець енець noun:anim:m:v_naz
ензим ензим noun:inanim:m:v_naz
енний енний adj:m:v_naz
еозин еозин noun:inanim:m:v_naz
еолів еолів adj:m:v_naz
еоліт еоліт noun:inanim:m:v_naz:xp1
еоліт еоліт noun:inanim:m:v_naz:xp2
еоцен еоцен noun:inanim:m:v_naz
епарх епарх noun:anim:m:v_naz
епіка епіка noun:inanim:f:v_naz
епонж епонж noun:inanim:m:v_naz
епоха епоха noun:inanim:f:v_naz
епюра епюра noun:inanim:f:v_naz
ербій ербій noun:inanim:m:v_naz
ерзац ерзац noun:inanim:m:v_naz
еркер еркер noun:inanim:m:v_naz
ескіз ескіз noun:inanim:m:v_naz
естер естер noun:inanim:m:v_naz
естет естет noun:anim:m:v_naz
етвеш етвеш noun:inanim:m:v_naz
етика етика noun:inanim:f:v_naz
етіоп етіоп noun:anim:m:v_naz:ua_2019
етнос етнос noun:inanim:m:v_naz
етрол етрол noun:inanim:m:v_naz
ефект ефект noun:inanim:m:v_naz
ефель ефель noun:inanim:m:v_naz
ефіоп ефіоп noun:anim:m:v_naz
євнух євнух noun:anim:m:v_naz
єврей єврей noun:anim:m:v_naz
єдваб єдваб noun:inanim:m:v_naz
єдино єдино adv
єзуїт єзуїт noun:anim:m:v_naz
ємний ємний adj:m:v_naz:compb
ємніш ємніше adv:compc:short
єпарх єпарх noun:anim:m:v_naz
єресь єресь noun:inanim:f:v_naz
єство єство noun:inanim:n:v_naz
єхида єхида noun:anim:m:v_naz
єхида єхида noun:anim:f:v_naz
жабка жабка noun:anim:f:v_naz
жабка жабка noun:inanim:f:v_naz
жабня жабня noun:inanim:f:v_naz
жабра жабра noun:inanim:f:v_naz
жакан жакан noun:inanim:m:v_naz
жакет жакет noun:inanim:m:v_naz
жалон жалон noun:inanim:m:v_naz
жарко жарко adv:compb
жарок жарок noun:inanim:m:v_naz
жаско жаско adv
жатий жатий adj:m:v_naz:&adjp:pasv:imperf
жатка жатка noun:inanim:f:v_naz
жаття жаття noun:inanim:n:v_naz
жахно жахно adv:compb
жваво жваво adv:compb
ждані ждані noun:anim:p:v_naz:ns
ждати ждати verb:imperf:inf
жебри жебри noun:inanim:p:v_naz:ns
желяр желяр noun:anim:m:v_naz
жеода жеода noun:inanim:f:v_naz
жердь жердь noun:inanim:f:v_naz
жердя жердя noun:inanim:n:v_naz
жереб жереб noun:inanim:m:v_naz
жереп жереп noun:inanim:m:v_naz
жерех жерех noun:inanim:m:v_naz
жерло жерло noun:inanim:n:v_naz
жерти жерти verb:imperf:inf
жерун жерун noun:anim:m:v_naz
жетон жетон noun:inanim:m:v_naz
живий живий adj:m:v_naz:compb
живіт живіт noun:inanim:m:v_naz
живіш живіше adv:compc:short
жидик жидик noun:anim:m:v_naz
жидів жидів adj:m:v_naz
жидок жидок noun:anim:m:v_naz
жижки жижки noun:inanim:p:v_naz:ns
жилет жилет noun:inanim:m:v_naz
жилий жилий adj:m:v_naz
жилка жилка noun:inanim:f:v_naz
жират жират noun:anim:m:v_naz
жираф жираф noun:anim:m:v_naz
жирне жирне noun:inanim:n:v_naz
жирно жирно adv:compb
жирок жирок noun:inanim:m:v_naz
жирун жирун noun:anim:m:v_naz
житло житло noun:inanim:n:v_naz
життя життя noun:inanim:n:v_naz
житце житце noun:inanim:n:v_naz
жінка жінка noun:anim:f:v_naz
жмаки жмаки noun:inanim:p:v_naz:ns
жменя жменя noun:inanim:f:v_naz
жмихи жмихи noun:inanim:p:v_naz:ns
жмудь жмудь noun:inanim:f:v_naz
жмури жмури noun:inanim:p:v_naz:ns
жнець жнець noun:anim:m:v_naz
жнива жнива noun:inanim:p:v_naz:ns
жниво жниво noun:inanim:n:v_naz
жниця жниця noun:anim:f:v_naz
жовна жовна noun:anim:f:v_naz
жовно жовно noun:inanim:n:v_naz
жовто жовто adv:compb
жоден жодний adj:m:v_naz:&pron:neg:short
жокей жокей noun:anim:m:v_naz
жолоб жолоб noun:inanim:m:v_naz
жорно жорно noun:inanim:n:v_naz
жрець жрець noun:anim:m:v_naz
жриця жриця noun:anim:f:v_naz
жуйка жуйка noun:inanim:f:v_naz
жуйні жуйні noun:anim:p:v_naz:ns
жупан жупан noun:inanim:m:v_naz
жупел жупел noun:inanim:m:v_naz
журба журба noun:inanim:f:v_naz
журек журек noun:inanim:m:v_naz
журно журно adv:&predic
жучок жучок noun:anim:m:v_naz
жучок жучок noun:inanim:m:v_naz
забаг забаг noun:inanim:m:v_naz
забіг забіг noun:inanim:m:v_naz
забій забій noun:inanim:m:v_naz
забіл забіл noun:inanim:m:v_naz
забір забір noun:inanim:m:v_naz
завал завал noun:inanim:m:v_naz
завід завід noun:inanim:m:v_naz
завіз завіз noun:inanim:m:v_naz
завій завій noun:inanim:m:v_naz
завіт завіт noun:inanim:m:v_naz
завія завія noun:inanim:f:v_naz
завод завод noun:inanim:m:v_naz
завуч завуч noun:anim:m:v_naz
загад загад noun:inanim:m:v_naz
загал загал noun:inanim:m:v_naz
загар загар noun:inanim:m:v_naz
загин загин noun:inanim:m:v_naz
загін загін noun:inanim:m:v_naz
загул загул noun:inanim:m:v_naz
задих задих noun:inanim:m:v_naz
задля задля prep
задок задок noun:inanim:m:v_naz
задом задом adv
задум задум noun:inanim:m:v_naz
заєць заєць noun:anim:m:v_naz
зажин зажин noun:inanim:m:v_naz
зазор зазор noun:inanim:m:v_naz
зазуб зазуб noun:inanim:m:v_naz
заїда заїда noun:inanim:f:v_naz
заїзд заїзд noun:inanim:m:v_naz
заїка заїка noun:anim:m:v_naz
заїка заїка noun:anim:f:v_naz
зайве зайве noun:inanim:n:v_naz
зайда зайда noun:anim:m:v_naz
зайда зайда noun:anim:f:v_naz
зайти зайти verb:perf:inf
зайча зайча noun:anim:n:v_naz
закид закид noun:inanim:m:v_naz
закис закис noun:inanim:m:v_naz
закіп закіп noun:inanim:m:v_naz
закон закон noun:inanim:m:v_naz
закот закот noun:inanim:m:v_naz
закуп закуп noun:inanim:m:v_naz
закут закут noun:inanim:m:v_naz
залік залік noun:inanim:m:v_naz
залім залім noun:inanim:m:v_naz
заліт заліт noun:inanim:m:v_naz
залка залка noun:inanim:f:v_naz
залом залом noun:inanim:m:v_naz
замах замах noun:inanim:m:v_naz
замет замет noun:inanim:m:v_naz
заміж заміж adv
замір замір noun:inanim:m:v_naz
заміс заміс noun:inanim:m:v_naz
замок замок noun:inanim:m:v_naz:xp1
замок замок noun:inanim:m:v_naz:xp2
замор замор noun:inanim:m:v_naz
замша замша noun:inanim:f:v_naz
занде занде noun:anim:m:v_naz:nv
занде занде noun:anim:f:v_naz:nv
заніз заніз noun:inanim:m:v_naz
занос занос noun:inanim:m:v_naz
заочі заочі adv
запал запал noun:inanim:m:v_naz
запас запас noun:inanim:m:v_naz
запах запах noun:inanim:m:v_naz
запин запин noun:inanim:m:v_naz
запис запис noun:inanim:m:v_naz
запит запит noun:inanim:m:v_naz
запій запій noun:inanim:m:v_naz
запіл запіл noun:inanim:m:v_naz
запір запір noun:inanim:m:v_naz
запор запор noun:inanim:m:v_naz
зараз зараз adv:&pron:dem
зарва зарва noun:inanim:f:v_naz
зарин зарин noun:inanim:m:v_naz
заріз заріз noun:inanim:m:v_naz
зарок зарок noun:inanim:m:v_naz
заруб заруб noun:inanim:m:v_naz
заряд заряд noun:inanim:m:v_naz
засіб засіб noun:inanim:m:v_naz
засів засів noun:inanim:m:v_naz
засік засік noun:inanim:m:v_naz
засіл засіл noun:inanim:m:v_naz
заспа заспа noun:inanim:f:v_naz
засув засув noun:inanim:m:v_naz
затим затим adv
затір затір noun:inanim:m:v_naz
затіс затіс noun:inanim:m:v_naz
затон затон noun:inanim:m:v_naz
затор затор noun:inanim:m:v_naz
захід захід noun:inanim:m:v_naz
зачин зачин noun:inanim:m:v_naz
зачіп зачіп noun:inanim:m:v_naz
зачіс зачіс noun:inanim:m:v_naz
заява заява noun:inanim:f:v_naz
збити збити verb:perf:inf
збіса збіса adv
збоку збоку adv
збоку збоку prep
збори збори noun:inanim:p:v_naz:ns
зброя зброя noun:inanim:f:v_naz
збруя збруя noun:inanim:f:v_naz
збути збути verb:perf:inf
зваба зваба noun:inanim:f:v_naz
звага звага noun:inanim:f:v_naz
звада звада noun:inanim:f:v_naz
звати звати verb:imperf:inf
звити звити verb:perf:inf
звище звище adv
звіку звіку adv
звіря звіря noun:anim:n:v_naz
згага згага noun:inanim:f:v_naz
згірш згірш adv:&predic
згода згода noun:inanim:f:v_naz
згори згори adv
зграя зграя noun:inanim:f:v_naz
згуба згуба noun:inanim:f:v_naz
згуда згуда noun:inanim:f:v_naz
здаля здаля adv
здати здати verb:perf:inf
здача здача noun:inanim:f:v_naz
здвиг здвиг noun:inanim:m:v_naz
здоба здоба noun:inanim:f:v_naz
здовж здовж adv
здовж здовж prep
здуру здуру adv
здути здути verb:perf:inf
зебра зебра noun:anim:f:v_naz
зебра зебра noun:inanim:f:v_naz
зелен зелений adj:m:v_naz:short
зелот зелот noun:anim:m:v_naz
зельц зельц noun:inanim:m:v_naz
земля земля noun:inanim:f:v_naz
земно земно adv
зеніт зеніт noun:inanim:m:v_naz
зерно зерно noun:inanim:n:v_naz
зернь зернь noun:inanim:f:v_naz
зерня зерня noun:inanim:n:v_naz
зефір зефір noun:inanim:m:v_naz
зжити зжити verb:perf:inf
ззаду ззаду adv
ззаду ззаду prep
зизий зизий adj:m:v_naz
зизом зизом adv
зилот зилот noun:anim:m:v_naz
зимно зимно adv:compb:&predic
зимою зимою adv
зично зично adv
зійти зійти verb:perf:inf
зілля зілля noun:inanim:n:v_naz
зірка зірка noun:anim:m:v_naz
зірка зірка noun:anim:f:v_naz
зірка зірка noun:inanim:f:v_naz
зірко зірко adv
зіяти зіяти verb:imperf:inf
злива злива noun:inanim:f:v_naz
злити злити verb:imperf:inf
злити злити verb:perf:inf
зліва зліва adv
зліше зліше adv:compc
злоба злоба noun:inanim:f:v_naz
злото злото noun:inanim:n:v_naz
злука злука noun:inanim:f:v_naz
злюка злюка noun:anim:m:v_naz
злюка злюка noun:anim:f:v_naz
змалу змалу adv
змити змити verb:perf:inf
зміїв зміїв adj:m:v_naz
зміна зміна noun:inanim:f:v_naz
зміст зміст noun:inanim:m:v_naz
змова змова noun:inanim:f:v_naz
змога змога noun:inanim:f:v_naz
знада знада noun:inanim:f:v_naz
знано знано adv
знати знати verb:imperf:inf:&insert
знать знать noun:inanim:f:v_naz
знизу знизу adv
знову знову adv
зночі зночі adv
зняти зняти verb:perf:inf
зобик зобик noun:inanim:m:v_naz
зовні зовні adv
золот золотий adj:m:v_naz:short
зоман зоман noun:inanim:m:v_naz
зомбі зомбі noun:anim:m:v_naz:nv
зомбі зомбі noun:anim:f:v_naz:nv
зошит зошит noun:inanim:m:v_naz
зрада зрада noun:inanim:f:v_naz
зрази зрази noun:inanim:p:v_naz:ns
зразу зразу adv
зрана зрана adv
зримо зримо adv:compb
зрити зрити verb:perf:inf
зріло зріло adv
зріст зріст noun:inanim:m:v_naz
зріти зріти verb:imperf:inf:xp1
зріти зріти verb:imperf:inf:xp2
зроду зроду adv
зряча зрячий noun:anim:f:v_naz
зубик зубик noun:inanim:m:v_naz
зубок зубок noun:inanim:m:v_naz
зубря зубря noun:anim:n:v_naz
зудар зудар noun:inanim:m:v_naz
зулус зулус noun:anim:m:v_naz
зумба зумба noun:inanim:f:v_naz
зумер зумер noun:inanim:m:v_naz
зумпф зумпф noun:inanim:m:v_naz
зуньї зуньї noun:inanim:f:v_naz:nv
зупин зупин noun:inanim:m:v_naz
зурна зурна noun:inanim:f:v_naz
зшити зшити verb:perf:inf
зятів зятів adj:m:v_naz
зяяти зяяти verb:imperf:inf
івасі івасі noun:anim:f:v_naz:nv
іврит іврит noun:inanim:m:v_naz
ігрек ігрек noun:inanim:m:v_naz
ідеал ідеал noun:inanim:m:v_naz
іджма іджма noun:inanim:f:v_naz
ідіот ідіот noun:anim:m:v_naz
ієрей ієрей noun:anim:m:v_naz
іжиця іжиця noun:inanim:f:v_naz
іжора іжора noun:anim:f:v_naz
ізвод ізвод noun:inanim:m:v_naz
ізгой ізгой noun:anim:m:v_naz
ізнов ізнов adv
ізюбр ізюбр noun:anim:m:v_naz
ікати ікати verb:imperf:inf
ікона ікона noun:inanim:f:v_naz
іксія іксія noun:inanim:f:v_naz
ілеус ілеус noun:inanim:m:v_naz
імаго імаго noun:anim:m:v_naz:nv
імаго імаго noun:anim:f:v_naz:nv
імаго імаго noun:inanim:n:v_naz:nv
імбир імбир noun:inanim:m:v_naz
імідж імідж noun:inanim:m:v_naz
інако інако adv
інарі інарі noun:inanim:f:v_naz:nv
інвар інвар noun:inanim:m:v_naz
інгуш інгуш noun:anim:m:v_naz
індик індик noun:anim:m:v_naz
індій індій noun:inanim:m:v_naz
індол індол noun:inanim:m:v_naz
індус індус noun:anim:m:v_naz
інжир інжир noun:inanim:m:v_naz
інкуб інкуб noun:anim:m:v_naz
іноді іноді adv:&pron:ind
інтим інтим noun:inanim:m:v_naz
інуїт інуїт noun:anim:m:v_naz
інфіз інфіз noun:inanim:m:v_naz
інший інший adj:m:v_naz:&pron:def
інший інший noun:anim:m:v_naz:&pron:def
іоніт іоніт noun:inanim:m:v_naz
іонол іонол noun:inanim:m:v_naz
іприт іприт noun:inanim:m:v_naz
ірбіс ірбіс noun:inanim:m:v_naz
ірмос ірмос noun:inanim:m:v_naz
іскра іскра noun:inanim:f:v_naz
іслам іслам noun:inanim:m:v_naz
іспит іспит noun:inanim:m:v_naz
істик істик noun:inanim:m:v_naz
ітися ітися verb:rev:imperf:inf
ітись ітися verb:rev:imperf:inf
ітрій ітрій noun:inanim:m:v_naz
іудей іудей noun:anim:m:v_naz
іудин іудин adj:m:v_naz
ішіас ішіас noun:inanim:m:v_naz
ішхан ішхан noun:anim:m:v_naz
їдало їдало noun:inanim:n:v_naz
їдати їдати verb:imperf:inf
їдець їдець noun:anim:m:v_naz
їдкий їдкий adj:m:v_naz:compb
їдкіш їдкіше adv:compc:short
їдьма їдьма adv
їздка їздка noun:inanim:f:v_naz
їстки їстки verb:imperf:inf:dimin
їхати їхати verb:imperf:inf
їхній їхній adj:m:v_naz:&pron:pos
йняти йняти verb:imperf:inf
йодат йодат noun:inanim:m:v_naz
йодид йодид noun:inanim:m:v_naz
йодил йодил noun:inanim:m:v_naz
йодит йодит noun:inanim:m:v_naz
йодль йодль noun:inanim:m:v_naz
йолоп йолоп noun:anim:m:v_naz
йомен йомен noun:anim:m:v_naz
йтися йтися verb:rev:imperf:inf
йтись йтися verb:rev:imperf:inf
кабак кабак noun:inanim:m:v_naz
кабан кабан noun:anim:m:v_naz
кабан кабан noun:inanim:m:v_naz
кавер кавер noun:inanim:m:v_naz
кавун кавун noun:inanim:m:v_naz
кагал кагал noun:inanim:m:v_naz
каган каган noun:anim:m:v_naz
кагат кагат noun:inanim:m:v_naz
кагла кагла noun:inanim:f:v_naz
кагор кагор noun:inanim:m:v_naz
каддо каддо noun:inanim:f:v_naz:nv
кадет кадет noun:anim:m:v_naz
кадик кадик noun:inanim:m:v_naz
кадіб кадіб noun:inanim:m:v_naz
кадуб кадуб noun:inanim:m:v_naz
кадук кадук noun:anim:m:v_naz
кадук кадук noun:inanim:m:v_naz
кажан кажан noun:anim:m:v_naz
казан казан noun:inanim:m:v_naz
казах казах noun:anim:m:v_naz
казка казка noun:inanim:f:v_naz
казна казна noninfl:&predic
казна казна noun:inanim:f:v_naz
казус казус noun:inanim:m:v_naz
кайло кайло noun:inanim:n:v_naz
кайма кайма noun:inanim:f:v_naz
кайра кайра noun:anim:f:v_naz
какао какао noun:inanim:n:v_naz:nv
калан калан noun:anim:m:v_naz
калач калач noun:inanim:m:v_naz
калга калга noun:anim:m:v_naz
калим калим noun:inanim:m:v_naz
калій калій noun:inanim:m:v_naz
каліф каліф noun:anim:m:v_naz
каліч каліч noun:inanim:f:v_naz
калюс калюс noun:inanim:m:v_naz
камаз камаз noun:inanim:m:v_naz
камба камба noun:anim:p:v_naz:nv:ns
камео камео noun:inanim:n:v_naz:nv
камея камея noun:inanim:f:v_naz
камін камін noun:inanim:m:v_naz
камка камка noun:inanim:f:v_naz
кампф кампф noninfl:foreign
камса камса noun:anim:f:v_naz
канал канал noun:inanim:m:v_naz
канат канат noun:inanim:m:v_naz
канва канва noun:inanim:f:v_naz
канна канна noun:anim:f:v_naz
канна канна noun:inanim:f:v_naz
каное каное noun:inanim:n:v_naz:nv
канон канон noun:inanim:m:v_naz
канюк канюк noun:anim:m:v_naz
капар капар noun:inanim:m:v_naz
капер капер noun:anim:m:v_naz
капіж капіж noun:inanim:m:v_naz
капля капля noun:inanim:f:v_naz
капок капок noun:inanim:m:v_naz
капор капор noun:inanim:m:v_naz
капот капот noun:inanim:m:v_naz
каппа каппа noun:inanim:f:v_naz
капут капут noninfl:&predic
карат карат noun:inanim:m:v_naz
карга карга noun:anim:f:v_naz
карго карго noun:inanim:n:v_naz:nv
карда карда noun:inanim:f:v_naz
карел карел noun:anim:m:v_naz
кариб кариб noun:anim:m:v_naz
карий карий adj:m:v_naz
карий карий noun:anim:m:v_naz
карія карія noun:inanim:f:v_naz
карма карма noun:inanim:f:v_naz
карст карст noun:inanim:m:v_naz
карта карта noun:inanim:f:v_naz
карук карук noun:inanim:m:v_naz
карус карус noun:inanim:m:v_naz
карюк карюк noun:inanim:m:v_naz
касир касир noun:anim:m:v_naz
касія касія noun:inanim:f:v_naz
каска каска noun:inanim:f:v_naz
каско каско noun:inanim:n:v_naz:nv
каста каста noun:inanim:f:v_naz
катар катар noun:inanim:m:v_naz
катер катер noun:inanim:m:v_naz
катет катет noun:inanim:m:v_naz
катик катик noun:inanim:m:v_naz
катів катів adj:m:v_naz
катма катма noninfl:&predic
катод катод noun:inanim:m:v_naz
каток каток noun:inanim:m:v_naz
каурі каурі noun:anim:m:v_naz:nv
каурі каурі noun:inanim:f:v_naz:nv
кафір кафір noun:anim:m:v_naz
кахля кахля noun:inanim:f:v_naz
кацап кацап noun:anim:m:v_naz
качан качан noun:inanim:m:v_naz
качин качин noun:anim:m:v_naz
качін качін noun:inanim:f:v_naz:nv
качка качка noun:anim:f:v_naz
качур качур noun:anim:m:v_naz
кашка кашка noun:inanim:f:v_naz
кашне кашне noun:inanim:n:v_naz:nv
кашпо кашпо noun:inanim:n:v_naz:nv
кашуб кашуб noun:anim:m:v_naz
каюта каюта noun:inanim:f:v_naz
квага квага noun:anim:f:v_naz
квант квант noun:inanim:m:v_naz
кварк кварк noun:inanim:m:v_naz
кварц кварц noun:inanim:m:v_naz
кваша кваша noun:inanim:f:v_naz
квест квест noun:inanim:m:v_naz
квити квити noninfl:&predic
квіти квіти noun:inanim:p:v_naz:ns
кволо кволо adv:compb
квота квота noun:inanim:f:v_naz
кебаб кебаб noun:inanim:m:v_naz
кегль кегль noun:inanim:m:v_naz
кегля кегля noun:inanim:f:v_naz
келар келар noun:anim:m:v_naz
келеп келеп noun:inanim:m:v_naz
келих келих noun:inanim:m:v_naz
келія келія noun:inanim:f:v_naz
кельт кельт noun:anim:m:v_naz
кендо кендо noun:inanim:n:v_naz:nv
кендя кендя noun:inanim:f:v_naz
кепка кепка noun:inanim:f:v_naz
керма керма noun:inanim:f:v_naz
кермо кермо noun:inanim:n:v_naz
кесар кесар noun:anim:m:v_naz
кесон кесон noun:inanim:m:v_naz
кетоз кетоз noun:inanim:m:v_naz
кетон кетон noun:inanim:m:v_naz
кетяг кетяг noun:inanim:m:v_naz
кефір кефір noun:inanim:m:v_naz
кечуа кечуа noun:anim:p:v_naz:nv:ns
кивок кивок noun:inanim:m:v_naz
кидок кидок noun:inanim:m:v_naz
кизил кизил noun:inanim:m:v_naz
кийок кийок noun:inanim:m:v_naz
килим килим noun:inanim:m:v_naz
кирза кирза noun:inanim:f:v_naz
кирка кирка noun:inanim:f:v_naz
кирпа кирпа noun:anim:f:v_naz
кирпа кирпа noun:inanim:f:v_naz
кисет кисет noun:inanim:m:v_naz
кисле кисле noun:inanim:n:v_naz
кисло кисло adv:compb
кисть кисть noun:inanim:f:v_naz
кицин кицин adj:m:v_naz
кишка кишка noun:inanim:f:v_naz
киюра киюра noun:inanim:f:v_naz
кібуц кібуц noun:inanim:m:v_naz
ківер ківер noun:inanim:m:v_naz
кізка кізка noun:anim:f:v_naz
кізяк кізяк noun:inanim:m:v_naz
кікую кікую noun:anim:p:v_naz:nv:ns:ua_2019
кілер кілер noun:anim:m:v_naz
кілік кілік noun:inanim:m:v_naz
кілля кілля noun:inanim:n:v_naz
кілок кілок noun:inanim:m:v_naz
кімвр кімвр noun:anim:m:v_naz
кімчі кімчі noun:inanim:f:v_naz:nv
кінва кінва noun:inanim:f:v_naz
кінза кінза noun:inanim:f:v_naz
кінік кінік noun:anim:m:v_naz
кінно кінно adv
кіноа кіноа noun:inanim:n:v_naz:nv
кіоск кіоск noun:inanim:m:v_naz
кіпка кіпка noun:inanim:f:v_naz
кірка кірка noun:inanim:f:v_naz
кірха кірха noun:inanim:f:v_naz
кіска кіска noun:inanim:f:v_naz
кісся кісся noun:inanim:n:v_naz
кіста кіста noun:inanim:f:v_naz
кість кість noun:inanim:f:v_naz
кітва кітва noun:inanim:f:v_naz
кітна кітна noun:anim:f:v_naz
кіфоз кіфоз noun:inanim:m:v_naz
кішка кішка noun:anim:f:v_naz
кішка кішка noun:inanim:f:v_naz
кларк кларк noun:inanim:m:v_naz
клатч клатч noun:inanim:m:v_naz
клема клема noun:inanim:f:v_naz
клерк клерк noun:anim:m:v_naz
кліка кліка noun:inanim:f:v_naz
клінч клінч noun:inanim:m:v_naz
кліпс кліпс noun:inanim:m:v_naz
кліть кліть noun:inanim:f:v_naz
кліше кліше noun:inanim:n:v_naz:nv
клоун клоун noun:anim:m:v_naz
клуня клуня noun:inanim:f:v_naz
кльош кльош noninfl
кльош кльош noun:inanim:m:v_naz
клюка клюка noun:inanim:f:v_naz
кнага кнага noun:inanim:f:v_naz
кнель кнель noun:inanim:f:v_naz
кнехт кнехт noun:anim:m:v_naz
книга книга noun:inanim:f:v_naz
княжа княжа noun:anim:n:v_naz
князь князь noun:anim:m:v_naz
коала коала noun:anim:m:v_naz
коала коала noun:anim:f:v_naz
коата коата noun:inanim:f:v_naz
коаті коаті noun:anim:m:v_naz:nv
кобза кобза noun:inanim:f:v_naz
кобиз кобиз noun:inanim:m:v_naz
кобоз кобоз noun:inanim:m:v_naz
кобра кобра noun:anim:f:v_naz
кобуз кобуз noun:inanim:m:v_naz
ковід ковід noun:inanim:m:v_naz
ковть ковть onomat:&predic
кодек кодек noun:inanim:m:v_naz
кодер кодер noun:anim:m:v_naz
кодер кодер noun:inanim:m:v_naz
кодло кодло noun:inanim:n:v_naz
кодон кодон noun:inanim:m:v_naz
коєць коєць noun:inanim:m:v_naz
кожен кожний adj:m:v_naz:&pron:gen:short
кожен кожний noun:anim:m:v_naz:&pron:gen:short
кожна кожний noun:anim:f:v_naz:&pron:gen
кожух кожух noun:inanim:m:v_naz
козак козак noun:anim:m:v_naz
козар козар noun:anim:m:v_naz
козел козел noun:anim:m:v_naz
козел козел noun:inanim:m:v_naz
козир козир noun:inanim:m:v_naz
козла козла noun:inanim:p:v_naz:ns
козли козли noun:inanim:p:v_naz:ns
козля козля noun:anim:n:v_naz
козуб козуб noun:inanim:m:v_naz
коїти коїти verb:imperf:inf
койка койка noun:inanim:f:v_naz
койне койне noun:inanim:m:v_naz:nv
койот койот noun:anim:m:v_naz
кокні кокні noun:anim:m:v_naz:nv
кокні кокні noun:anim:f:v_naz:nv
кокні кокні noun:inanim:f:v_naz:nv
кокон кокон noun:inanim:m:v_naz
кокос кокос noun:inanim:m:v_naz
кокус кокус noun:inanim:m:v_naz
колаж колаж noun:inanim:m:v_naz
колар колар noun:inanim:m:v_naz
колба колба noun:inanim:f:v_naz
колеж колеж noun:inanim:m:v_naz
колір колір noun:inanim:m:v_naz
коліт коліт noun:inanim:m:v_naz
колія колія noun:inanim:f:v_naz
колон колон noun:anim:m:v_naz
колон колон noun:inanim:m:v_naz
колос колос noun:anim:m:v_naz
колос колос noun:inanim:m:v_naz
колун колун noun:inanim:m:v_naz
кольє кольє noun:inanim:n:v_naz:nv
кольт кольт noun:inanim:m:v_naz
колюр колюр noun:inanim:m:v_naz
комар комар noun:anim:m:v_naz
комбі комбі noninfl
комин комин noun:inanim:m:v_naz
комиш комиш noun:inanim:m:v_naz
комік комік noun:anim:m:v_naz
комір комір noun:inanim:m:v_naz
комод комод noun:inanim:m:v_naz
конак конак noun:inanim:m:v_naz
конар конар noun:inanim:m:v_naz
коник коник noun:anim:m:v_naz
коник коник noun:inanim:m:v_naz
конка конка noun:inanim:f:v_naz
конто конто noun:inanim:n:v_naz:nv
конус конус noun:inanim:m:v_naz
конче конче adv
конюх конюх noun:anim:m:v_naz
коняр коняр noun:anim:m:v_naz
копач копач noun:anim:m:v_naz
копач копач noun:inanim:m:v_naz
копер копер noun:inanim:m:v_naz
копил копил noun:inanim:m:v_naz
копір копір noun:inanim:m:v_naz
копія копія noun:inanim:f:v_naz
копня копня noun:inanim:f:v_naz
копра копра noun:inanim:f:v_naz
корал корал noun:anim:m:v_naz
корал корал noun:inanim:m:v_naz
корба корба noun:inanim:f:v_naz
коргі коргі noun:anim:m:v_naz:nv
коргі коргі noun:anim:f:v_naz:nv
корма корма noun:inanim:f:v_naz
короб короб noun:inanim:m:v_naz
корок корок noun:inanim:m:v_naz
короп короп noun:anim:m:v_naz
коряк коряк noun:anim:m:v_naz
коряк коряк noun:inanim:m:v_naz
косар косар noun:anim:m:v_naz
косий косий adj:m:v_naz
косяк косяк noun:inanim:m:v_naz:xp1
косяк косяк noun:inanim:m:v_naz:xp2
котел котел noun:inanim:m:v_naz
котик котик noun:anim:m:v_naz
котик котик noun:inanim:m:v_naz
котко котко noun:anim:m:v_naz
коток коток noun:anim:m:v_naz
коток коток noun:inanim:m:v_naz
котон котон noun:inanim:m:v_naz
котун котун noun:inanim:m:v_naz
кофта кофта noun:inanim:f:v_naz
кочет кочет noun:inanim:m:v_naz
кошик кошик noun:inanim:m:v_naz
кошма кошма noun:inanim:f:v_naz
кощій кощій noun:anim:m:v_naz
кпити кпити verb:imperf:inf
крага крага noun:inanim:f:v_naz
краля краля noun:anim:f:v_naz
краса краса noun:inanim:f:v_naz
